Date       | Product   | Quantity | Price  | Total
2025-03-01 | Laptop    | 5        | 899.99 | 4499.95
2025-03-02 | Mouse     | 12       | 24.99  | 299.88
2025-03-03 | Keyboard  | 8        | 49.99  | 399.92
2025-03-04 | Monitor   | 3        | 199.99 | 599.97
2025-03-05 | Headphone | 10       | 79.99  | 799.90
2025-03-06 | Laptop    | 2        | 899.99 | 1799.98
2025-03-07 | Printer   | 4        | 149.99 | 599.96
2025-03-08 | Mouse     | 15       | 24.99  | 374.85
2025-03-09 | Keyboard  | 6        | 49.99  | 299.94
2025-03-10 | Monitor   | 5        | 199.99 | 999.95
2025-03-11 | Headphone | 8        | 79.99  | 639.92
2025-03-12 | Printer   | 3        | 149.99 | 449.97
2025-03-13 | Laptop    | 4        | 899.99 | 3599.96
2025-03-14 | Mouse     | 20       | 24.99  | 499.80
2025-03-15 | Keyboard  | 10       | 49.99  | 499.90
